key,year,state,state_po,special,candidate,party,writein,candidatevotes,totalvotes,Winner,Percent,Incumbent,Incumbent?
Arizona|2012,2012,Arizona,AZ,FALSE,Jeff Flake,republican,FALSE,1104457,2243422,W,0.492309071,Jon Kyl,
Arizona|2012,2012,Arizona,AZ,FALSE,Richard Carmona,democrat,FALSE,1036542,2243422,,0.462036122,Jon Kyl,
Arizona|2012,2012,Arizona,AZ,FALSE,Marc Victor,libertarian,FALSE,102109,2243422,,0.045514843,Jon Kyl,
Arizona|2012,2012,Arizona,AZ,FALSE,NA,NA,TRUE,290,2243422,,0.000129267,Jon Kyl,
Arizona|2012,2012,Arizona,AZ,FALSE,NA,NA,TRUE,24,2243422,,1.06979E-05,Jon Kyl,
California|2012,2012,California,CA,FALSE,Dianne Feinstein,democrat,FALSE,7864624,12578511,W,0.625242845,Dianne Feinstein,Incumbent
California|2012,2012,California,CA,FALSE,Elizabeth Emken,republican,FALSE,4713887,12578511,,0.374757155,Dianne Feinstein,
Connecticut|2012,2012,Connecticut,CT,FALSE,Christopher S. Murphy,democrat,FALSE,792983,1511764,W,0.524541529,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,Linda E. McMahon,republican,FALSE,604569,1511764,,0.399909642,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,Linda E. McMahon,independent,FALSE,46520,1511764,,0.030771999,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,Christopher S. Murphy,working families,FALSE,35778,1511764,,0.023666392,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,Paul Passarelli,libertarian,FALSE,25045,1511764,,0.016566739,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,NA,NA,TRUE,6414,1511764,,0.004242726,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,NA,NA,TRUE,388,1511764,,0.000256654,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,NA,NA,TRUE,40,1511764,,2.64592E-05,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,NA,NA,TRUE,19,1511764,,1.25681E-05,Joseph I. Lieberman,
Connecticut|2012,2012,Connecticut,CT,FALSE,NA,NA,TRUE,8,1511764,,5.29183E-06,Joseph I. Lieberman,
Delaware|2012,2012,Delaware,DE,FALSE,Thomas R. Carper,democrat,FALSE,265415,399606,W,0.664191729,Thomas R. Carper,Incumbent
Delaware|2012,2012,Delaware,DE,FALSE,Kevin Wade,republican,FALSE,115700,399606,,0.289535192,Thomas R. Carper,
Delaware|2012,2012,Delaware,DE,FALSE,Alexander Pires,independent,FALSE,15300,399606,,0.038287713,Thomas R. Carper,
Delaware|2012,2012,Delaware,DE,FALSE,Andrew Richard Groff,green,FALSE,3191,399606,,0.007985366,Thomas R. Carper,
Florida|2012,2012,Florida,FL,FALSE,Bill Nelson,democrat,FALSE,4523451,8189946,W,0.552317561,Bill Nelson,Incumbent
Florida|2012,2012,Florida,FL,FALSE,Connie Mack,republican,FALSE,3458267,8189946,,0.422257607,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,Bill Gaylor,none,FALSE,126079,8189946,,0.015394363,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,Chris Borgia,none,FALSE,82089,8189946,,0.010023143,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,Naomi Craine,,TRUE,19,8189946,,2.31992E-06,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,NA,NA,TRUE,18,8189946,,2.19782E-06,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,NA,NA,TRUE,12,8189946,,1.46521E-06,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,NA,NA,TRUE,9,8189946,,1.09891E-06,Bill Nelson,
Florida|2012,2012,Florida,FL,FALSE,NA,NA,TRUE,2,8189946,,2.44202E-07,Bill Nelson,
Hawaii|2012,2012,Hawaii,HI,FALSE,Mazie K. Hirono,democrat,FALSE,269489,437159,W,0.61645534,Daniel K. Akaka,
Hawaii|2012,2012,Hawaii,HI,FALSE,Linda Lingle,republican,FALSE,160994,437159,,0.368273328,Daniel K. Akaka,
Hawaii|2012,2012,Hawaii,HI,FALSE,Blank Vote,,FALSE,6599,437159,,0.015095194,Daniel K. Akaka,
Hawaii|2012,2012,Hawaii,HI,FALSE,Over Vote,,FALSE,77,437159,,0.000176137,Daniel K. Akaka,
Indiana|2012,2012,Indiana,IN,FALSE,Joe Donnelly,democrat,FALSE,1281181,2560102,W,0.500441389,Richard G. Lugar,
