Date Introduced,Bill number,Bill Name,Senator Details,Last Name,First Name,Party,state_po,Number of Cosponsors
11/29/2017,S.2169,Student Right to Know Before You Go Act of 2017,"Sen. Wyden, Ron [D-OR]","Wyden,",Ron,D,OR,3
04/07/2017,S.888,Understanding the True Cost of College Act of 2017,"Sen. Grassley, Chuck [R-IA]","Grassley,",Chuck,R,IA,9
03/30/2017,S.799,Dynamic Repayment Act of 2017,"Sen. Warner, Mark R. [D-VA]","Warner,",Mark,D,VA,1
11/16/2017,S.2155,"Economic Growth, Regulatory Relief, and Consumer Protection Act","Sen. Crapo, Mike [R-ID]","Crapo,",Mike,R,ID,26
06/20/2017,S.1384,Joint Consolidation Loan Separation Act,"Sen. Warner, Mark R. [D-VA]","Warner,",Mark,D,VA,3
11/16/2017,S.2136,PSLF Technical Corrections Act,"Sen. Whitehouse, Sheldon [D-RI]","Whitehouse,",Sheldon,D,RI,4
07/25/2017,S.1628,Know Before You Owe Federal Student Loan Act of 2017,"Sen. Grassley, Chuck [R-IA]","Grassley,",Chuck,R,IA,3
06/06/2018,S.3018,Degrees Not Debt Act of 2018,"Sen. Heinrich, Martin [D-NM]","Heinrich,",Martin,D,NM,0
07/12/2018,S.3205,Know Before You Owe Private Education Loan Act of 2018,"Sen. Durbin, Richard J. [D-IL]","Durbin,",Richard,D,IL,5
07/24/2017,S.1619,A bill to amend the Servicemembers Civil Relief Act to extend the interest rate limitation on debt entered into during military service to debt incurred during military service to consolidate or refinance student loans incurred before military service.,"Sen. Durbin, Richard J. [D-IL]","Durbin,",Richard,D,IL,4
10/11/2018,S.3584,Affordable Loans for Any Student Act,"Sen. Merkley, Jeff [D-OR]","Merkley,",Jeff,D,OR,9
10/26/2017,S.2028,Protect Student Borrowers Act of 2017,"Sen. Reed, Jack [D-RI]","Reed,",Jack,D,RI,3
05/15/2017,S.1121,College Transparency Act,"Sen. Hatch, Orrin G. [R-UT]","Hatch,",Orrin,R,UT,15
01/30/2018,S.2356,Stronger Medical Workforce for Veterans Act,"Sen. Tester, Jon [D-MT]","Tester,",Jon,D,MT,6
12/13/2017,S.2224,Empowering Student Borrowers Act,"Sen. Donnelly, Joe [D-IN]","Donnelly,",Joe,D,IN,2
12/13/2017,S.2228,Higher Education Reform and Opportunity Act of 2017,"Sen. Lee, Mike [R-UT]","Lee,",Mike,R,UT,1
11/06/2017,S.2081,Empowering Students Through Enhanced Financial Counseling Act,"Sen. Warner, Mark R. [D-VA]","Warner,",Mark,D,VA,4
12/18/2018,S.3771,Retirement Parity for Student Loans Act,"Sen. Wyden, Ron [D-OR]","Wyden,",Ron,D,OR,3
10/11/2018,S.3595,Student Loan Repayment Acceleration Act,"Sen. Gardner, Cory [R-CO]","Gardner,",Cory,R,CO,0
04/05/2017,S.850,Foreign Medical School Accountability Fairness Act of 2017,"Sen. Durbin, Richard J. [D-IL]","Durbin,",Richard,D,IL,1
08/01/2018,S.3320,Protecting Seniors with Student Loans Act of 2018,"Sen. McCaskill, Claire [D-MO]","McCaskill,",Claire,D,MO,0
05/17/2017,S.1162,Bank on Students Emergency Loan Refinancing Act,"Sen. Warren, Elizabeth [D-MA]","Warren,",Elizabeth,D,MA,39
11/30/2017,S.2180,Christopher's Law,"Sen. Menendez, Robert [D-NJ]","Menendez,",Robert,D,NJ,3
